"_id","lat","lng","state","country","city","p"
"ObjectId(""5ebd5231c7b01f00197ab606"")","-29.8425284","-53.7680577","Rio Grande do Sul","Brasil",,0
"ObjectId(""5ebd524bc7b01f00197ab607"")","-5.1023325","-42.8449518","Maranhão","Brasil","Timon",0
"ObjectId(""5ebd5254c7b01f00197ab608"")","-29.6905705","-51.1429035","Rio Grande do Sul","Brasil","Novo Hamburgo",0
"ObjectId(""5ebd52dfc7b01f00197ab60a"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",0
"ObjectId(""5ebd52e7c7b01f00197ab60b"")","-7.9986401","-34.8459552","Pernambuco","Brasil","Olinda",12
"ObjectId(""5ebd532ec7b01f00197ab60e"")","-8.0641931","-34.8781517","Pernambuco","Brasil","Recife",0
"ObjectId(""5ebd5345c7b01f00197ab60f"")","-8.0641931","-34.8781517","Pernambuco","Brasil","Recife",0
"ObjectId(""5ebd5352c7b01f00197ab610"")","-16.2890312","-48.92366603059597","Goiás","Brasil","Anápolis",0
"ObjectId(""5ebd5370c7b01f00197ab611"")","-29.8425284","-53.7680577","Rio Grande do Sul","Brasil",,2
"ObjectId(""5ebd537dc7b01f00197ab612"")","-10.1835604","-48.3337793","Tocantins","Brasil","Palmas",0
"ObjectId(""5ebd539bc7b01f00197ab613"")","-21.7886713","-48.1773096","São Paulo","Brasil","Araraquara",0
"ObjectId(""5ebd5404c7b01f00197ab614"")","-21.9549806","-49.0232348","São Paulo","Brasil",,1
"ObjectId(""5ebd5413c7b01f00197ab615"")","-9.9765362","-67.8220778","Acre","Brasil","Rio Branco",0
"ObjectId(""5ebd5459c7b01f00197ab618"")","-18.5264844","-44.1588654","Minas Gerais","Brasil",,0
"ObjectId(""5ebd54bcc7b01f00197ab61a"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",0
"ObjectId(""5ebd54c6c7b01f00197ab61b"")","-8.0641931","-34.8781517","Pernambuco","Brasil","Recife",1
"ObjectId(""5ebd54dfc7b01f00197ab61c"")","-8.047875999999999","-34.893455450000005","Pernambuco","Brasil","Recife",2
