"_id","lat","lng","state","country","city","p","a"
"ObjectId(""5ec53c9a5b1a50001967b2bc"")","-30.0324999","-51.2303767","Rio Grande do Sul","Brasil","Porto Alegre",6,0.625
"ObjectId(""5ec53ca05b1a50001967b2bd"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",0.2,0
"ObjectId(""5ec53cb15b1a50001967b2be"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",4.01,-0.325
"ObjectId(""5ec53cf15b1a50001967b2c0"")","-19.983311","-44.0406865","Minas Gerais","Brasil","Belo Horizonte",9.02,0.41818181818181815
"ObjectId(""5ec53d0c5b1a50001967b2c1"")","-3.7997574","-38.5417015","Ceará","Brasil","Fortaleza",15.72,0
"ObjectId(""5ec53d805b1a50001967b2c2"")","-12.9822499","-38.4812772","Bahia","Brasil","Salvador",126.57,0.13636363636363635
"ObjectId(""5ec53d975b1a50001967b2c3"")","-15.7754462","-47.7970891","Distrito Federal","Brasil",,0.5,0
"ObjectId(""5ec53dbd5b1a50001967b2c5"")","-23.4430602","-46.524459","São Paulo","Brasil","Guarulhos",0.62,-0.5
"ObjectId(""5ec53dca5b1a50001967b2c6"")","-25.966917","32.466956","Maputo","Mozambique","Matola",18.83,0.55625
"ObjectId(""5ec53ddc5b1a50001967b2c7"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",0.54,0.4375
"ObjectId(""5ec53dfa5b1a50001967b2c8"")","-31.7699736","-52.3410161","Rio Grande do Sul","Brasil","Pelotas",0.02,0
"ObjectId(""5ec53e7b5b1a50001967b2cc"")","-23.4430602","-46.524459","São Paulo","Brasil","Guarulhos",0.49,0
"ObjectId(""5ec53e865b1a50001967b2cd"")","-19.9227318","-43.9450948","Minas Gerais","Brasil","Belo Horizonte",1.63,0
"ObjectId(""5ec53e985b1a50001967b2ce"")","-18.1755033","-49.3523852","Goiás","Brasil","Panamá",3.68,0
"ObjectId(""5ec53eb35b1a50001967b2d0"")","32.5010188","-116.9646629","Baja California","México","Tijuana",0.16,0
"ObjectId(""5ec53f005b1a50001967b2d2"")","-23.681347","-46.62052","São Paulo","Brasil","Diadema",0.07,-0.375
"ObjectId(""5ec53f125b1a50001967b2d3"")","-23.5506507","-46.6333824","São Paulo","Brasil","São Paulo",8.45,-0.125
"ObjectId(""5ec53f185b1a50001967b2d4"")","-8.0641931","-34.8781517","Pernambuco","Brasil","Recife",0.65,0.3358333333333334
"ObjectId(""5ec53f235b1a50001967b2d5"")","-29.9216045","-51.1799525","Rio Grande do Sul","Brasil","Canoas",0.87,-0.18541666666666667
"ObjectId(""5ec53f585b1a50001967b2d7"")","-31.7699736","-52.3410161","Rio Grande do Sul","Brasil","Pelotas",35.67,0
"ObjectId(""5ec53f7a5b1a50001967b2d8"")","-22.90556","-47.06083","São Paulo","Brasil","Campinas",0.43,-0.15
"ObjectId(""5ec5404d5b1a50001967b2db"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",1.22,0.25
"ObjectId(""5ec5407f5b1a50001967b2dc"")","-23.5383214","-46.6391624","São Paulo","Brasil","São Paulo",9.95,0
"ObjectId(""5ec5409a5b1a50001967b2df"")","-21.4894916","-41.6152776","Rio de Janeiro","Brasil","Cardoso Moreira",2.63,0.4166666666666667
"ObjectId(""5ec540a45b1a50001967b2e0"")","-19.9227318","-43.9450948","Minas Gerais","Brasil","Belo Horizonte",122.08,0.1
"ObjectId(""5ec540cc5b1a50001967b2e1"")","-7.9986401","-34.8459552","Pernambuco","Brasil","Olinda",0.99,-0.5
"ObjectId(""5ec540db5b1a50001967b2e2"")","-23.960833","-46.333889","São Paulo","Brasil","Santos",35.18,-0.10000000000000002
"ObjectId(""5ec540e65b1a50001967b2e3"")","-23.960833","-46.333889","São Paulo","Brasil","Santos",66.89,-0.10000000000000002
"ObjectId(""5ec541385b1a50001967b2e5"")","-10.7299404","-37.188505750000004","Sergipe","Brasil",,4.42,0.25833333333333336
"ObjectId(""5ec541495b1a50001967b2e6"")","-23.960833","-46.333889","São Paulo","Brasil","Santos",0.88,0
"ObjectId(""5ec541c15b1a50001967b2e7"")","-20.5370949","-43.6049599","Minas Gerais","Brasil",,9,0
"ObjectId(""5ec541ca5b1a50001967b2e8"")","-20.1252961","-40.3064477","Espírito Santo","Brasil","Serra",11.03,0
"ObjectId(""5ec541d65b1a50001967b2e9"")","-19.9601533","-43.9893018","Minas Gerais","Brasil","Belo Horizonte",5.93,-0.053333333333333344
"ObjectId(""5ec541fe5b1a50001967b2eb"")","-30.0324999","-51.2303767","Rio Grande do Sul","Brasil","Porto Alegre",8.71,0
"ObjectId(""5ec542135b1a50001967b2ec"")","-20.5937362","-46.2841079","Minas Gerais","Brasil",,1.03,0
"ObjectId(""5ec542185b1a50001967b2ed"")","-30.0324999","-51.2303767","Rio Grande do Sul","Brasil","Porto Alegre",46.76,0.13636363636363635
"ObjectId(""5ec542315b1a50001967b2ee"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",0.73,0.175
"ObjectId(""5ec542485b1a50001967b2ef"")","-29.7171898","-53.76736372670953","Rio Grande do Sul","Brasil","Santa Maria",11.12,-0.2935185185185185
"ObjectId(""5ec542665b1a50001967b2f0"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",25.33,0
"ObjectId(""5ec5426f5b1a50001967b2f1"")","-8.0641931","-34.8781517","Pernambuco","Brasil","Recife",13.85,0
"ObjectId(""5ec542945b1a50001967b2f2"")","-22.2752762","-42.419415","Rio de Janeiro","Brasil",,4.73,0
"ObjectId(""5ec542bc5b1a50001967b2f3"")","-30.0324999","-51.2303767","Rio Grande do Sul","Brasil","Porto Alegre",703.33,0.30000000000000004
"ObjectId(""5ec542c45b1a50001967b2f4"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",0.39,0.6
"ObjectId(""5ec542cc5b1a50001967b2f5"")","-30.0324999","-51.2303767","Rio Grande do Sul","Brasil","Porto Alegre",150.46,0.30000000000000004
"ObjectId(""5ec542e85b1a50001967b2f6"")","-26.739777","-49.271828","Santa Catarina","Brasil","Rio dos Cedros",0.11,0
"ObjectId(""5ec543045b1a50001967b2f7"")","-29.9981184","-51.0772509","Rio Grande do Sul","Brasil","Alvorada",5.63,0.30000000000000004
"ObjectId(""5ec543145b1a50001967b2f8"")","-22.9269199","-43.1802186","Rio de Janeiro","Brasil","Rio de Janeiro",0.57,-0.1875
"ObjectId(""5ec543315b1a50001967b2f9"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",13.06,0.1
"ObjectId(""5ec5434d5b1a50001967b2fb"")","-22.9257974","-42.507633","Rio de Janeiro","Brasil","Saquarema",1.09,-0.0625
"ObjectId(""5ec543555b1a50001967b2fc"")","-30.0324999","-51.2303767","Rio Grande do Sul","Brasil","Porto Alegre",0.16,0.5
"ObjectId(""5ec543615b1a50001967b2fd"")","-18.5264844","-44.1588654","Minas Gerais","Brasil",,1.53,0
"ObjectId(""5ec543845b1a50001967b2fe"")","-30.0324999","-51.2303767","Rio Grande do Sul","Brasil","Porto Alegre",1.12,0.30000000000000004
"ObjectId(""5ec543a55b1a50001967b2ff"")","-5.6781175","-36.4781776","Rio Grande do Norte","Brasil",,1225.26,0
"ObjectId(""5ec543b55b1a50001967b300"")","-25.4295963","-49.2712724","Paraná","Brasil","Curitiba",4.86,0
"ObjectId(""5ec543cf5b1a50001967b301"")","-22.90556","-47.06083","São Paulo","Brasil","Campinas",13.18,0.1
"ObjectId(""5ec543d45b1a50001967b302"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",44.92,-0.3666666666666667
"ObjectId(""5ec544035b1a50001967b303"")","-23.5506507","-46.6333824","São Paulo","Brasil","São Paulo",0.98,0.5
"ObjectId(""5ec5440f5b1a50001967b304"")","-29.8425284","-53.7680577","Rio Grande do Sul","Brasil",,3.21,0
